source,target,first_year
olexandr-archipenko,nathan-altman,1908
olexandr-archipenko,kazimir-malevich,1910
olexandr-archipenko,georges-braque,1910
olexandr-archipenko,pablo-picasso,1910
olexandr-archipenko,leopold-survage,1906
olexandr-archipenko,vadym-meller,1912
olexandr-archipenko,fernand-leger,1909
olexandr-archipenko,oleksandr-bogomazov,1902
olexandr-archipenko,alberto-magnelli,1912
olexandr-archipenko,lyubov-popova,1913
olexandr-archipenko,albert-gleizes,1920
olexandr-archipenko,aleksandra-ekster,1906
olexandr-archipenko,chaim-soutine,1913
olexandr-archipenko,gosta-adrian-nilsson,1920
juan-gris,pablo-picasso,1906
juan-gris,jean-metzinger,1906
juan-gris,georges-braque,1906
juan-gris,amedeo-modigliani,1915
juan-gris,louis-marcoussis,1911
juan-gris,henri-laurens,1915
juan-gris,jacques-lipchitz,1909
juan-gris,henri-le-fauconnier,1912
juan-gris,emilio-pettoruti,1919
juan-gris,jean-dubuffet,1918
juan-gris,maria-blanchard,1909
georges-valmier,albert-gleizes,1914
patrick-henry-bruce,morgan-russell,1912
patrick-henry-bruce,max-weber,1905
nathan-altman,marc-chagall,1910
louis-marcoussis,georges-braque,1911
louis-marcoussis,pablo-picasso,1911
eduardo-viana,robert-delaunay,1915
eduardo-viana,sonia-delaunay,1915
eduardo-viana,mily-possoz,1919
henri-laurens,pablo-picasso,1915
henri-laurens,fernand-leger,1915
vilhelm-lundstrom,pablo-picasso,1920
vilhelm-lundstrom,georges-braque,1920
jacques-lipchitz,pablo-picasso,1909
jacques-lipchitz,fernand-leger,1909
jacques-lipchitz,chaim-soutine,1913
jacques-lipchitz,maria-blanchard,1909
vadym-meller,alexander-khvostenko-khvostov,1917
julio-gonzalez,pablo-picasso,1899
oskar-schlemmer,paul-klee,1919
oskar-schlemmer,willi-baumeister,1912
dorrit-black,dorrit-black,1909
max-jacob,pablo-picasso,1901
max-jacob,amedeo-modigliani,1916
max-jacob,jean-hugo,1918
leo-leuppi,jean-arp,1918
emil-filla,pablo-picasso,1910
emil-filla,georges-braque,1910
emil-filla,josef-capek,1911
rene-duvillier,rene-duvillier,1919
robert-delaunay,max-ernst,1913
robert-delaunay,jose-de-almada-negreiros,1915
robert-delaunay,morgan-russell,1912
robert-delaunay,marc-chagall,1910
robert-delaunay,fernand-leger,1909
robert-delaunay,jean-arp,1912
robert-delaunay,jacques-villon,1911
robert-delaunay,jozef-pankiewicz,1914
robert-delaunay,henri-le-fauconnier,1911
robert-delaunay,aristarkh-lentulov,1910
robert-delaunay,frantisek-kupka,1912
robert-delaunay,roger-de-la-fresnaye,1912
