node,year,latitude,longitude
robert-goodnough,1920,0.0,0.0
betty-parsons,1920,40.7128,-74.006
esteban-vicente,1920,41.1783,-3.8769
william-scott,1920,55.9466,-4.7577
adja-yunkers,1920,56.9496,24.1052
terry-frost,1920,52.2852,-1.5356
nicolas-carone,1920,40.7128,-74.006
friedel-dzubas,1920,52.52,13.405
elaine-de-kooning,1920,40.65,-73.95
frederick-hammersley,1920,40.7608,-111.891
jose-guerrero,1920,37.1773,-3.5986
rene-marcil,1920,46.8139,-71.208
milton-resnick,1920,48.7167,29.05
alfred-jensen,1920,14.6349,-90.5069
taro-yamamoto,1920,34.0983,-118.3267
alma-woodsey-thomas,1920,38.9128,-77.0337
paul-wonner,1920,32.2226,-110.9747
ulfert-wilke,1920,48.790447,11.497889
hassel-smith,1920,41.8011,-85.4167
arthur-pinajian,1920,40.7678,-74.0141
jane-frank,1920,0.0,0.0
robert-nickle,1920,43.4195,-83.9508
paul-reed,1920,38.9072,-77.0369
george-stefanescu,1920,45.7833,27.0333
william-saroyan,1920,36.7378,-119.7871
alexander-bogen,1920,58.3776,26.729
alexander-liberman,1920,55.7558,37.6173
toko-shinoda,1920,35.6895,139.6917
john-cage,1920,34.052235,-118.243683
wu-guanzhong,1920,31.3639,119.8209
bui-xuan-phai,1920,21.0278,105.8342
olexandr-archipenko,1920,43.7102,7.262
juan-gris,1920,48.886,2.3375
leopold-survage,1920,43.7102,7.262
georges-valmier,1920,48.8867,2.3431
patrick-henry-bruce,1920,48.8566,2.3522
nathan-altman,1920,59.9343,30.3351
louis-marcoussis,1920,48.8566,2.3522
eduardo-viana,1920,38.7223,-9.13933
henri-laurens,1920,48.8566,2.3522
vilhelm-lundstrom,1920,43.1531,6.3796
jacques-lipchitz,1920,48.8566,2.3522
jankel-adler,1920,52.52,13.405
vadym-meller,1920,50.4501,30.5234
anatol-petrytsky,1920,50.4501,30.5234
vytautas-kairiukstis,1920,54.11,23.35
roger-bissiere,1920,48.8566,2.3522
julio-gonzalez,1920,48.8566,2.3522
nikos-hadjikyriakos-ghikas,1920,37.9838,23.7275
oskar-schlemmer,1920,50.980263,11.329056
dorrit-black,1920,-34.9265,138.6388
emiliano-di-cavalcanti,1920,-23.55052,-46.633308
omer-mujadzic,1920,45.815,15.9819
adolf-fleischmann,1920,47.3769,8.5417
max-jacob,1920,48.8566,2.3522
leo-leuppi,1920,47.3665,8.553
pierre-tal-coat,1920,47.835,-3.636
paritosh-sen,1920,23.8103,90.4125
vicente-manansala,1920,14.9536,120.5966
emil-filla,1920,50.0755,14.4378
giuseppe-santomaso,1920,45.4408,12.3155
mario-zanini,1920,-23.55052,-46.633308
mahmoud-saiid,1920,31.2001,29.9187
corneliu-michailescu,1920,44.4268,26.1025
rupprecht-geiger,1920,48.1351,11.582
paul-feeley,1920,41.5868,-93.625
patrick-heron,1920,53.8273,-1.5746
agnes-martin,1920,49.2827,-123.1207
fernand-leduc,1920,45.5017,-73.5673
giulio-turcato,1920,45.1564,10.7914
olivier-debre,1920,48.856614,2.352222
leon-polk-smith,1920,35.0526,-97.9639
nassos-daphnis,1920,36.995,22.508
chu-teh-chun,1920,34.184,116.9566
gustave-singier,1920,48.8566,2.3522
rene-duvillier,1920,46.259,5.629
bram-van-velde,1920,52.1417,4.53
jean-messagier,1920,47.5036,6.7969
nicolas-de-stael,1920,52.2297,21.0122
afro,1920,46.0718,13.235
jean-rene-bazaine,1920,48.8566,2.3522
zao-wou-ki,1920,39.9042,116.4074
robert-delaunay,1920,38.7223,-9.1393
jean-michel-atlan,1920,36.365,6.6147
asger-jorn,1920,56.4333,8.5167
lennart-rodhe,1920,59.3293,18.0686
huguette-arthur-bertrand,1920,45.4397,4.3872
eugene-leroy,1920,50.7239,3.1606
karl-otto-gotz,1920,50.7753,6.0839
mario-ballocco,1920,45.4642,9.19
alberto-burri,1920,43.4631,12.2445
eugene-brands,1920,0.0,0.0
ernst-wilhelm-nay,1920,52.52,13.405
fritz-winter,1920,51.597,7.616
carl-buchheister,1920,52.375892,9.73201
jean-le-moal,1920,0.0,0.0
bernard-schultze,1920,53.1517,16.7385
marcelle-loubchansky,1920,48.8566,2.3522
giuseppe-pinot-gallizio,1920,44.703,8.033
natalia-dumitresco,1920,44.4268,26.1025
rune-jansson,1920,59.7833,19.5333
henri-michaux,1920,50.467,4.867
fausto-melotti,1920,45.8897,11.0415
jiro-yoshihara,1920,34.6937,135.5023
adrien-dax,1920,43.604652,1.444209
andre-lanskoy,1920,41.0082,28.9784
cyril-power,1920,52.2382,0.7106
benedetta-cappa,1920,41.902782,12.496366
pierre-soulages,1920,44.3513,2.576
hans-hartung,1920,51.3397,12.3731
serge-poliakoff,1920,55.7558,37.6173
gerard-schneider,1920,46.8182,8.2275
louis-van-lint,1920,50.8503,4.3517
jean-bertholle,1920,47.322047,5.04148
alexandre-istrati,1920,47.99,26.4167
emil-schumacher,1920,51.3671,7.4633
lygia-clark,1920,-19.9245,-43.9352
amilcar-de-castro,1920,-22.1056,-46.8344
morgan-russell,1920,48.8566,2.3522
elsa-von-freytag-loringhoven,1920,40.7336,-74.0027
suzanne-duchamp,1920,48.8462,2.3333
hannah-hoch,1920,52.52,13.405
erich-buchholz,1920,52.52,13.405
naum-gabo,1920,55.7558,37.6173
ludwig-mies-van-der-rohe,1920,52.52,13.405
henryk-berlewi,1920,52.2296756,21.0122287
katarzyna-kobro,1920,55.7558,37.6173
max-bill,1920,47.4988,8.7237
gyorgy-kepes,1920,47.1686,18.4781
edgar-negret,1920,2.4444,-76.6147
may-wilson,1920,39.2904,-76.6122
pedro-figari,1920,-34.9011,-56.1645
victor-brecheret,1920,-23.55052,-46.633308
jesus-helguera,1920,40.4168,-3.7038
martin-munkacsi,1920,47.162494,19.503304
rene-portocarrero,1920,23.1136,-82.3666
august-natterer,1920,48.1628,8.6278
adolf-wolfli,1920,46.94809,7.44744
forrest-bess,1920,28.9822,-95.9247
ralph-fasanella,1920,40.8448,-73.8648
clementine-hunter,1920,31.7848,-93.0191
louis-soutter,1920,46.518,6.566
gaston-chaissac,1920,46.2276,2.2137
howard-finster,1920,34.5731,-85.7391
friedrich-schroder-sonnenstern,1920,52.52,13.405
bart-van-der-leck,1920,52.0907,5.1214
bill-traylor,1920,32.3,-86.4
cesar-domela,1920,46.1667,8.7833
gottfried-honegger,1920,47.3769,8.5417
fritz-glarner,1920,47.3769,8.5417
friedrich-vordemberge-gildewart,1920,52.2799,8.0472
robert-strubin,1920,47.5596,7.5886
carmelo-arden-quin,1920,-30.94194,-55.53944
richard-paul-lohse,1920,47.3769,8.5417
atanasio-soldati,1920,44.8015,10.3279
aurelie-nemours,1920,48.8566,2.3522
verena-loewensberg,1920,47.3768866,8.541694
olle-baertling,1920,56.6745,12.8572
camille-graeser,1920,46.1811,6.1399
galliano-mazzon,1920,45.4683,11.5225
luigi-veronesi,1920,45.4642,9.19
pablo-palazuelo,1920,40.416775,-3.70379
henryk-stazewski,1920,52.2297,21.0122
david-park,1920,42.3601,-71.0589
theophilus-brown,1920,41.5065,-90.5151
otto-constantin,1920,54.666,21.015
enrique-grau,1920,8.9824,-79.5199
antonio-povedano,1920,37.4008,-4.18
william-james-glackens,1920,40.7128,-74.006
wayne-thiebaud,1920,33.4152,-111.8315
juan-carlos-castagnino,1920,-38.0055,-57.5426
george-rickey,1920,55.8642,-4.2518
lucio-fontana,1920,45.4642,9.19
mario-nigro,1920,43.9311,10.9075
edna-andrade,1920,36.8358,-76.2983
gego,1920,53.5511,9.9937
luis-tomasello,1920,-34.921452,-57.954533
corita-kent,1920,42.4972,-94.1685
john-brack,1920,-37.8136,144.9631
mimmo-rotella,1920,38.9097,16.5873
allan-randall-freelon,1920,39.9526,-75.1652
leon-ferrari,1920,-34.6037,-58.3816
maria-lai,1920,39.8969,9.5061
antonio-calderara,1920,45.35,8.9333
ronald-bladen,1920,49.2827,-123.1207
tony-smith,1920,40.7484,-74.263
ruth-vollmer,1920,48.1351,11.582
johannes-jan-schoonhoven,1920,52.0116,4.3571
lenore-tawney,1920,41.4528,-82.1824
rolf-amstrong,1920,40.7128,-74.006
fairfield-porter,1920,42.1084,-87.7076
qi-baishi,1920,39.9042,116.4074
chang-dai-chien,1920,31.2304,121.4737
fu-baoshi,1920,27.8,114.93
xu-beihong,1920,48.8566,2.3522
ohara-koson,1920,35.6895,139.6917
kiyokata-kaburagi,1920,35.6938,139.7731
goyo-hashiguchi,1920,31.5966,130.5571
natori-shunsen,1920,35.6895,139.6917
ito-shinsui,1920,35.6793,139.7954
hiroshi-yoshida,1920,35.6895,139.6917
hasui-kawase,1920,35.689487,139.691711
torii-kotondo,1920,35.6836,139.7749
unichi-hiratsuka,1920,35.4723,133.0486
koshiro-onchi,1920,35.6895,139.6917
kanae-yamamoto,1920,36.4023,138.2525
kiyoshi-saito,1920,40.824,140.74
hiroyuki-tajima,1920,35.6895,139.6917
ogata-gekko,1920,35.6895,139.6917
paul-jacoulet,1920,35.6895,139.6917
tomioka-tessai,1920,35.0116,135.7681
uemura-shoen,1920,35.0014,135.7588
okumura-togyu,1920,0.0,0.0
nakahara-nantenbo,1920,0.0,0.0
yamamoto-gempo,1920,36.204824,138.252924
zenkei-shibayama,1920,36.204824,138.252924
nakagawa-soen,1920,25.1283,121.7415
kamal-ol-molk,1920,33.985,51.4093
hossein-behzad,1920,29.591768,52.583698
olowe-of-ise,1920,7.7747,4.8419
stephen-mopope,1920,34.9,-98.544
emily-kame-kngwarreye,1920,-22.2167,134.9667
karimeh-abbud,1920,31.7054,35.2023
karl-blossfeldt,1920,52.52,13.405
eugene-atget,1920,48.8422,2.3243
m-c-escher,1920,53.2013,5.7999
jose-santiago-garnelo-y-alda,1920,40.4168,-3.7038
herbert-gustave-schmalz,1920,51.507351,-0.127758
ivan-mrkvicka,1920,50.4333,14.4167
leon-wyczolkowski,1920,51.8975,21.6143
n-c-wyeth,1920,39.8834,-75.5913
roderic-oconor,1920,53.7833,-8.3833
stanislaw-szukalski,1920,41.8781,-87.6298
oleksa-novakivskiy,1920,49.8397,24.0297
a-y-jackson,1920,43.6715,-79.3869
georgia-o-keeffe,1920,40.7128,-74.006
marevna-marie-vorobieff,1920,48.8566,2.3522
m-f-husain,1920,17.6647,75.334
stanislaw-ignacy-witkiewicz,1920,49.2992,19.9496
wlodzimierz-zakrzewski,1920,52.0,19.0
carl-holsoe,1920,55.6761,12.56834
rose-oneill,1920,40.7128,-74.006
vlady-kibalchich-rusakov,1920,59.9342802,30.3350986
sarah-purser,1920,53.3345,-6.2405
harriet-backer,1920,59.8914,10.5236
archibald-thorburn,1920,51.153,-0.594
william-logsdail,1920,51.492,-0.205
frank-w-benson,1920,44.3077,-68.8592
alfred-parsons,1920,52.0594,-1.8414
carl-rungius,1920,40.7128,-74.006
jessie-arms-botke,1920,36.5552,-121.9233
charles-tunnicliffe,1920,53.262,-2.146
pavel-filonov,1920,59.9343,30.3351
aleksandr-deyneka,1920,51.7304,36.1929
natalia-goncharova,1920,55.7558,37.6173
martiros-sarian,1920,55.7558,37.6173
mikhail-larionov,1920,48.8075,2.3181
raoul-dufy,1920,49.4944,0.1079
maurice-prendergast,1920,40.7128,-74.006
marc-chagall,1920,55.7558,37.6173
oskar-kokoschka,1920,48.208174,16.373819
kazimir-malevich,1920,55.1904,30.2049
mykhailo-boychuk,1920,50.4501,30.5234
boris-kustodiev,1920,59.9311,30.3609
andre-bauchant,1920,47.44,1.06
jean-hugo,1920,48.8566,2.3522
florine-stettheimer,1920,40.778,-73.9787
l-s-lowry,1920,53.5036,-2.3539
joan-miro,1920,48.8566,2.3522
jury-annenkov,1920,59.9342802,30.3350986
adolf-dietrich,1920,47.65,8.9
camille-bombois,1920,48.8566,2.3522
el-lissitzky,1920,55.7558,37.6173
lyonel-feininger,1920,52.52,13.405
mstislav-dobuzhinsky,1920,58.5215,31.2756
alfred-wallis,1920,50.212,-5.481
seraphine-louis,1920,49.207,2.579
victor-palmov,1920,0.0,0.0
vasyl-yermylov,1920,49.9935,36.2304
frida-kahlo,1920,19.355,-99.1628
diego-rivera,1920,48.8566,2.3522
johannes-itten,1920,50.9795,11.3235
tarsila-do-amaral,1920,-22.9956,-47.4922
lasar-segall,1920,51.0504,13.7373
leon-underwood,1920,51.4927,-0.233
franz-sedlacek,1920,48.2082,16.3738
christopher-wood,1920,48.8566,2.3522
bela-kadar,1920,47.4979,19.0402
louis-vivin,1920,48.8867,2.338
arman-manookian,1920,41.8236,-71.4222
bertalan-por,1920,50.075539,14.4378
salvador-dali,1920,42.2673,2.9608
kateryna-bilokur,1920,50.0625,33.6
gregoire-michonze,1920,47.0105,28.8638
antonio-ligabue,1920,44.9414,10.6406
jules-lefranc,1920,48.0709,-0.7708
constantin-brancusi,1920,48.8566,2.3522
maruja-mallo,1920,43.5634,-5.924
ivan-generalic,1920,46.1347,16.8356
fernand-leger,1920,48.8566,2.3522
horace-pippin,1920,39.9607,-75.6055
candido-portinari,1920,-22.9068,-43.1729
maria-primachenko,1920,50.7839,29.2365
grandma-moses,1920,42.857,-73.3
vajda-lajos,1920,46.8419,16.846
anton-prinner,1920,47.497913,19.040236
william-h-johnson,1920,40.7128,-74.006
ludwig-bemelmans,1920,40.7128,-74.006
mariam-aslamazian,1920,40.7892,43.8476
andre-derain,1920,48.895,2.163
adolph-gottlieb,1920,40.7128,-74.006
alfredo-volpi,1920,-23.5505,-46.6333
walter-battiss,1920,-29.45,26.85
mary-fedden,1920,51.4545,-2.5879
joaquim-rodrigo,1920,38.7223,-9.1393
maud-lewis,1920,44.025,-66.099
victor-brauner,1920,46.9269,26.3708
max-ernst,1920,50.9375,6.9603
roberto-montenegro,1920,20.6597,-103.3496
tetyana-yablonska,1920,54.782,32.0459
william-hawkins,1920,39.961175,-82.998794
antonio-bueno,1920,52.52,13.405
james-lesesne-wells,1920,33.749,-84.388
lin-fengmian,1920,48.8566,2.3522
edward-e-simmons,1920,0.0,0.0
david-alfaro-siqueiros,1920,28.6333,-106.0691
lewis-hine,1920,44.0247,-88.5426
j-c-leyendecker,1920,40.9115,-73.7824
wyndham-lewis,1920,51.5074,-0.1278
dorothea-lange,1920,37.77493,-122.41942
norman-rockwell,1920,40.9115,-73.7824
jack-bush,1920,43.6532,-79.3832
philip-evergood,1920,40.7128,-74.006
jose-clemente-orozco,1920,19.7056,-103.475
ben-shahn,1920,40.7081,-73.9571
will-barnet,1920,42.5584,-70.8805
antonio-berni,1920,-32.9442,-60.6505
philip-guston,1920,34.0522,-118.2437
carlos-orozco-romero,1920,19.4326,-99.1332
renato-guttuso,1920,38.072,13.5419
laura-knight,1920,51.5074,-0.1278
gerard-sekoto,1920,-25.778,29.468
peter-laszlo-peri,1920,48.8566,2.3522
yervand-kochar,1920,41.7151,44.8271
oswaldo-guayasamin,1920,-0.180653,-78.467834
george-pemba,1920,-33.9608,25.6022
oliver-kilbourn,1920,55.16,-1.585
jacob-lawrence,1920,39.364283,-74.422926
charles-alston,1920,40.8116,-73.9465
charles-wilbert-white,1920,41.85,-87.65
maynard-dixon,1920,37.7749,-122.4194
nuri-iyem,1920,37.3267,42.1769
botong-francisco,1920,14.5867,121.1299
arthur-nisio,1920,-30.0346,-51.2177
romare-bearden,1920,40.8116,-73.9465
teodor-harsia,1920,46.5167,24.5833
tran-van-can,1920,20.805,106.6333
andre-masson,1920,49.36,2.42
dolfi-trost,1920,45.27,27.97
paul-paun,1920,44.4268,26.1025
jean-arp,1920,47.3768866,8.541694
wolfgang-paalen,1920,41.9028,12.4964
