source,target,first_year
juan-gris,pablo-picasso,1906
juan-gris,jean-metzinger,1906
juan-gris,louis-marcoussis,1911
juan-gris,jacques-lipchitz,1909
louis-marcoussis,pablo-picasso,1911
eduardo-viana,robert-delaunay,1915
eduardo-viana,sonia-delaunay,1915
henri-laurens,pablo-picasso,1915
henri-laurens,fernand-leger,1915
jacques-lipchitz,pablo-picasso,1909
robert-delaunay,fernand-leger,1909
robert-delaunay,jean-metzinger,1906
robert-delaunay,sonia-delaunay,1909
jose-santiago-garnelo-y-alda,pablo-picasso,1895
constantin-brancusi,pablo-picasso,1904
fernand-leger,jean-metzinger,1910
fernand-leger,le-corbusier,1920
georges-braque,pablo-picasso,1907
georges-braque,jean-metzinger,1908
marcel-duchamp,jean-metzinger,1911
roger-fry,pablo-picasso,1910
piet-mondrian,pablo-picasso,1912
jean-metzinger,pablo-picasso,1908
gino-severini,pablo-picasso,1906
otto-freundlich,pablo-picasso,1908
albert-gleizes,pablo-picasso,1911
amedeo-modigliani,pablo-picasso,1906
marie-laurencin,pablo-picasso,1910
jean-cocteau,pablo-picasso,1917
pablo-picasso,henri-matisse,1906
